"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000026080",26,20,21,30
"ENSMUSG00000103647",0,0,0,0
"ENSMUSG00000102447",0,0,0,0
"ENSMUSG00000067604",0,0,0,0
"ENSMUSG00000026078",2,5,6,3
"ENSMUSG00000103046",0,0,1,0
"ENSMUSG00000104188",0,0,0,0
"ENSMUSG00000103182",0,0,0,0
"ENSMUSG00000098833",0,0,0,0
"ENSMUSG00000026077",7,6,9,15
"ENSMUSG00000092553",0,0,1,0
"ENSMUSG00000092563",0,1,0,0
"ENSMUSG00000073702",1,2,0,1
"ENSMUSG00000003134",5,4,6,3
"ENSMUSG00000102607",0,0,0,0
"ENSMUSG00000065629",0,0,0,0
"ENSMUSG00000104827",0,0,0,0
"ENSMUSG00000003135",13,15,13,10
"ENSMUSG00000085894",4,0,2,1
"ENSMUSG00000077704",0,0,0,1
"ENSMUSG00000048234",7,6,4,2
"ENSMUSG00000064936",0,0,0,0
"ENSMUSG00000102471",0,0,0,0
"ENSMUSG00000050967",39,28,33,29
"ENSMUSG00000097083",0,1,0,0
"ENSMUSG00000057173",0,0,0,0
"ENSMUSG00000091937",0,0,0,0
"ENSMUSG00000101634",0,0,0,0
"ENSMUSG00000026074",13,14,17,22
"ENSMUSG00000102985",0,0,1,2
"ENSMUSG00000026073",0,0,0,0
"ENSMUSG00000097899",0,0,0,0
"ENSMUSG00000102975",0,0,0,0
"ENSMUSG00000026072",3,1,0,2
"ENSMUSG00000103560",0,0,0,0
"ENSMUSG00000070942",0,0,1,0
"ENSMUSG00000103230",0,0,0,0
"ENSMUSG00000026069",0,0,0,0
"ENSMUSG00000026070",0,0,0,0
"ENSMUSG00000026068",0,0,0,0
"ENSMUSG00000104441",0,0,0,0
"ENSMUSG00000026065",1,1,4,0
"ENSMUSG00000102676",0,0,0,0
"ENSMUSG00000026062",8,12,3,7
"ENSMUSG00000103679",0,0,0,0
"ENSMUSG00000103270",1,0,0,0
"ENSMUSG00000041945",0,1,0,0
"ENSMUSG00000079588",0,0,0,0
"ENSMUSG00000094136",0,0,0,0
"ENSMUSG00000104072",0,0,0,0
"ENSMUSG00000100185",0,0,0,0
"ENSMUSG00000100832",0,0,0,0
"ENSMUSG00000100178",0,0,0,0
"ENSMUSG00000101877",0,0,0,0
"ENSMUSG00000053640",0,0,0,0
"ENSMUSG00000101919",0,0,0,0
"ENSMUSG00000101299",0,1,2,3
"ENSMUSG00000100180",0,0,0,0
"ENSMUSG00000103106",0,0,0,0
"ENSMUSG00000060424",9,10,11,8
"ENSMUSG00000104199",0,0,0,0
"ENSMUSG00000093436",0,1,0,0
"ENSMUSG00000045515",16,22,32,25
"ENSMUSG00000097063",2,2,0,3
"ENSMUSG00000099784",2,0,1,1
"ENSMUSG00000060679",8,5,4,7
"ENSMUSG00000077448",0,0,0,0
